tweet_created,username,user_follower_count,tweet_text,tweet_retweet_count,source
2022-10-09,brinyia,7,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,cryssie,3801,rt ebonyrgooden hearing people i love the deaf community also learn wrong sign language from hearing people,31,other
2022-10-09,laura navarro,102,rt jimearevaloo mi love language es vacilarte,862,jimearevaloo
2022-10-09,maustenite,1180,rt sidlottefanfic a new chapter from dansunedisco love language dansunedisco https t co pdmk086bck and it s time to judge sandcas,7,other
2022-10-09,laurydory,97,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,k mr n mirza md phd he him,20941,rt sara jiang clear rulers are my love language pathologists really get me cap22 https t co 7jqnvqaxxm,8,other
2022-10-09,cr,68,rt ih8rts smoking together is a love language,713,other
2022-10-09,bot,861,amazon love dock 5 ipl https t co iec0c5xp6j,0,original tweet
2022-10-09,mtlb kuchbhi,1383,rt okshreyaaaaa why is my toxic trait self isolation and avoidance when my love language is physical touch and quality time,11,other
2022-10-09,slim,1955,someone who knows your love language is top tier,0,original tweet
2022-10-09,sol,4,rt karlarboledas mi love language es molestar,3757,other
2022-10-09,bri,101,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,noplansjustvibes,17,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,bossc,1159,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,queen,548,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,no body,1,rt makeyourwis is a love language,32,other
2022-10-09,bry,1690,i love the french language i m going to france this year to put my french to use,0,original tweet
2022-10-09,k,231,rt percyelii of course i remembered is a love language,3412,percyelii
2022-10-09,davidmercuriorivera,668,rt clarkeaward wergen the alien love war by mercuriorivera shortlisted for the 2022 clarkeaward for science fiction book of the year,1,other
2022-10-09,jaylaachelle,78,what s y all love language,0,original tweet
2022-10-09,mza,11,sharing music is a huge love language for me,0,original tweet
2022-10-09,re,570,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,badazzzz,233,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,multipolarity,2968,jaccocharite love it the treasure of speaking a foreign language,0,original tweet
2022-10-09,risha,830,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,aw hell naw,44,rt freakyfemme my love language is fat blunts,2,other
2022-10-09,queenkeesh,1093,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,dai,1847,i chase my love language not the person,0,original tweet
2022-10-09,favour onojodofia,283,today i finished reading ope s money diary by cowrywise and i enjoyed it first of all i love the diction i ap https t co cyrlhxezqp,0,original tweet
2022-10-09,black,1163,rt mahmoud09 my love language is,2,other
2022-10-09,soo,1,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,chrissie keffler,2809,rt squac0 matt cates whitehouse they won t say they never do they cherry pick words that fit their agenda as someone told me long,1,other
2022-10-09,vip gnt,10867,a sunday kind of love privilege can also be emotional or psychological regarding security comfort and personal https t co ydfw055xti,0,original tweet
2022-10-09,sarah glogowski do,2438,rt sara jiang clear rulers are my love language pathologists really get me cap22 https t co 7jqnvqaxxm,8,other
2022-10-09,atalanta nins,90,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,love on purpose,4279,having compassion for people is a love language,0,original tweet
2022-10-09,monacan illustrator,442,birthday flower image chibi character october0th bouvardia flower language sincere love illustration https t co moj3zwfjen,0,original tweet
2022-10-09,tori,590,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,simba,1,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,mari,2009,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,quaddy,54,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,bourn s galerie,1048,rt yessicaalcan9 hi i m yessica a artist who love to create art because i believe is like an international language you just have,135,other
2022-10-09,more,106,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,queta,159,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
