"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
10/9/22 12:05 PM,"kapanlagicom","31355801",,"-1","in","<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>","Isu Selingkuh, Potret Manis Regi Datau Suami Ayu Dewi Bareng Anak - Rayakan Ultah Sang Anak Hingga Renang Bersama https://t.co/lSUV768eVY",,,0.0,"1578959734925045762"
10/9/22 10:45 AM,"Rawwrrr","428059460",,"-1","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Fyp tiktok ku ga jauh2 dari reza arap, rizky billar, dan regi. Selingkuh dimana2 anjjjjjj",,,0.0,"1578939673711644675"
10/9/22 8:08 AM,"Tika ?","1297320265848823808",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @needAyank_: Celana jeans 

- https://t.co/uRJwV4ggg3

ijin tag : selingkuh Regi Datau Rizki billar lesti 1 oktober morning https://t.co…",,,1.0,"1578900216106733568"
10/9/22 8:08 AM,"Tika ?","1297320265848823808",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @needAyank_: Celana panjang longgat wanita

- https://t.co/K7UG631Wnf

ijin tah : good morning 1 oktober gajian Sekingkuh Regi Datau Les…",,,1.0,"1578900190668300288"
10/9/22 8:08 AM,"Tika ?","1297320265848823808",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @needAyank_: Sling PVC Bag Hologram / bagus di pakai kalau nonton konser ?

- https://t.co/gH5xbPCXPH

ijin tag : The Link NCT127 seling…",,,1.0,"1578900132472365062"
10/9/22 1:17 AM,"CS","102578737",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtfrombxb: Update rank news di sosial media
1. Rizky billar gay ?
2. Lesti korban kdrt ?
3. Regi selingkuh ?
4. Chandraliow ?
5. Reza…",,,18.0,"1578796766975381504"
10/9/22 1:15 AM,"Iam_Jack","1229492815",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @gfrizkaa: ini reza arap, rizky billar, regi datau. permasalahannya sama, suami yang berselingkuh. cewe yang selingkuh emang ada juga, c…",,,1.0,"1578796359645204480"
10/9/22 1:13 AM,"Iam_Jack","1229492815",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @weareoneexo_bar: Ini cowok2 pada battle selingkuh kah?
Minggu sebelumnya berita selingkuh Adam dan Reza Arap yg battle jdi perbincangan…",,,1.0,"1578795689949401088"
10/9/22 1:09 AM,"Iam_Jack","1229492815",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @lail_eunoia: Dari mulai reza arap selingkuh, billar kdrt, regi datau yg rumornya selingkuh juga, adam levine yg juga selingkuh dan kisa…",,,1.0,"1578794681009569793"
10/8/22 11:56 PM,"V Taehyung","1004118896",,"-1","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @txtfrombxb: Update rank news di sosial media
1. Rizky billar gay ?
2. Lesti korban kdrt ?
3. Regi selingkuh ?
4. Chandraliow ?
5. Reza…",,,18.0,"1578776237983793152"
10/8/22 11:32 PM,"kei","1559539986130616320",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @muly1701: Inisial R
1. Rafi Ahmad (Lord yang sudah insaf) 
2. Rizky Aditya (suami nya citra Kirana) 
3. Reynhard Sinaga (Penjahat kelam…",,,1262.0,"1578770266628317184"
10/8/22 9:34 PM,"Rina Delis","1396846335689592837","Notnot276","1396846335689592837","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bingung kalo mood booster nya cuma ayang . Jadi kalo ayang nya lgi bad mood aku overthinking jadinya . Pdhl ayangg kan pusing nya bukan gra2 aku ya,knpa aku mikir nya ayang takut selingkuh . Apa gr2 si rizkibilar , rezaarap sma regi ya",,,0.0,"1578740708286267395"
10/8/22 9:07 PM,"EsKOPI","1270571523259195392","Roudhohtunnisa_","1154217219707899904","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@Roudhohtunnisa_ Menjual banget emang sifat cuek dinginya si regi tuh, apalagi klo si ayu kecentilan regi kaku. tp semanjak isu selingkuh nitijen pd kasian ke ayu dibilang ayu cinta sendiri pdhal regi jijik

jd penasaran off camera sifat si regi nih gmn. haha",,,0.0,"1578733893628624902"
10/8/22 8:50 PM,"EsKOPI","1270571523259195392","Roudhohtunnisa_","1154217219707899904","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@Roudhohtunnisa_ kayak gak terjadi apa2 ya, tp kuliat di vlog si regi makin romantis ke ayu. peluk pijet rangkul pdhal tadinya ky jijik. apa tingkah cowo ketahuan selingkuh gitu ya? wkwk",,,0.0,"1578729433196007438"
10/8/22 4:04 PM,"freetag ?•?•?","1344157200529297408",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Regi datau selingkuh sama Denise? https://t.co/RuqQ5QtKTi",,,0.0,"1578657692356608001"
10/8/22 3:31 PM,"Jember Network","1435481198218805249",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Denise Chariesta bikin heboh, beberkan isi chat sosok yang diduga Regi Datau, suami Ayu Dewi.
#denisechariesta #ayudewi #Selingkuh
https://t.co/0Zx2UPeUwz",,,0.0,"1578649363009916928"
10/8/22 3:26 PM,"intanputri","1578640969439670273",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","September Kemarin
1. Reza arap selingkuh
2. Kris hatta pedofil
3. Leslar, Rizky Billar kdrt ke lesti
4. Regi datau suami Dewi ayu “diduga” selingkuh sm denis
5. Chandra Liow
6. Drama tasyi tasya
7. Drama es teh
8. Inisial R

Cek diTokopedia : https://t.co/xQ4ly8XyFK

#ootd #cewek https://t.co/26Xc7ippmN",,,0.0,"1578647951831797762"
10/8/22 11:20 AM,"Dede69","1479523357888372740",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @YareY4r3Daze: Ngomong2 soal selingkuh, KDRT, seperti halnya kasusnya Reza arap, Rizky Billar, Regi Datau dan yg sejenisnya, ada video m…",,,258.0,"1578586045578629121"
10/8/22 10:13 AM,"HYPE @KIMDOBB","1084770547102232576",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @newp_art: Totebag handbag aesthetic dan muat banyak?

a thread

~~~~~
Tags : #TREASURE_COMEBACK_D3 | Lesti | KDRT | HELLO MV TEASER | R…",,,79.0,"1578569165350539269"
10/8/22 8:17 AM,"Pedoman Tangerang | PedomanTangerangCom","1384193676285337607",,"-1","in","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Nikita Mirzani Beberkan Pesan WA dengan Ayu Dewi soal isu Regi Datau Selingkuh, Isinya Ternyata... https://t.co/6hu0ixZQES",,,0.0,"1578539978791223296"
10/8/22 5:38 AM,"meiy_____","1312715613538643968",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @muly1701: Inisial R
1. Rafi Ahmad (Lord yang sudah insaf) 
2. Rizky Aditya (suami nya citra Kirana) 
3. Reynhard Sinaga (Penjahat kelam…",,,1262.0,"1578499918247133184"
10/8/22 5:18 AM,"Calathea","1567000703717224450","Askrlfess","1197225394866282496","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@Askrlfess Kok bisa si Regi selingkuh sama seikopat gatau malu kaya Denis",,,0.0,"1578495016053329920"
10/8/22 2:42 AM,"Boby Romeo","796829144952750080",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578455867103793152"
10/8/22 2:35 AM,"vv","2519584046","Askrlfess","1197225394866282496","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@Askrlfess Ini mksudnya yg selingkuh pak regi suaminya miss ayudewi itu kah ?",,,0.0,"1578453886696054784"
10/8/22 2:22 AM,"Robbi iskandar","1299866970955739136",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @anakmagerakutu: Rizky Billar cakep, trnyt dakjal
Regi Datau B aje, trnyt dakjal
Reza Arap lu tau ndiri komuknye, trnyt dakjal

istri se…",,,121.0,"1578450790405922816"
10/8/22 1:46 AM,"ga guna","1214496993524903936",,"-1","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578441695569772544"
10/8/22 1:31 AM,"J ??","1539905828643569664","Askrlfess","1197225394866282496","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@Askrlfess i sometimes wonder kenapa regi selingkuh sama modelan yg kyk gini…",,,0.0,"1578437846372737025"
10/8/22 1:29 AM,"serangga","961656048107974657",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578437283266834433"
10/8/22 1:29 AM,"??? ????","1171306653204938752",,"-1","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578437253415989249"
10/8/22 1:17 AM,"?","447777705",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @deewmalau: Setelah gosip arap selingkuhin wendy.
Trus netizen menerka nerka regi suami ayu dewi selingkuh sama denise trus skrg billar…",,,1008.0,"1578434396813938689"
10/8/22 1:03 AM,"M E I?","1223649438087831553",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578430814463090689"
10/8/22 1:03 AM,"Tri Cahya Ningrum","1094092963",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @iirman_: gila si ini berita twitter selingkuh dan diselingkuhi silir berganti kmrn penyuka game. skrg Ayu Dewi, Denise dan Regi Datau t…",,,447.0,"1578430797841072128"
10/8/22 12:59 AM,"Lsa","1437291294015983619",,"-1","in","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578429858614738944"
10/8/22 12:53 AM,"Khaerunnisa","928850511578595329",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578428366805700609"
10/8/22 12:39 AM,"mapler alika - ARMY FOREVER BANGTAN FOREVER","1058348039255941120",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578424700413542400"
10/8/22 12:35 AM,"Monday mabok Shimchae","1435951459615473664",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578423843097817090"
10/8/22 12:33 AM,"???KANG_EF???","1339622076294987776",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578423184562745344"
10/8/22 12:30 AM,"laballonggeng","621026450",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578422406791966720"
10/8/22 12:27 AM,"rachmat suhendar","4581250039",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578421794125381640"
10/8/22 12:18 AM,"????","1344641232408956929",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578419493906558977"
10/8/22 12:08 AM,"Disja","2202604640",,"-1","in","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @txtperkucingan: Entah kenapa kocheng kalo sama Bocil nurut banget. Giliran sama kita kek jijik gitu ?
.
.
.
Reza arap KDRT Citayem #dog…",,,385.0,"1578417047675244545"
